Timestamp,What is your classification year?,Are you a major or concentrator in this faculty member's field?,What was your principal reason for taking this course? Check all that apply:,How challenging was this course for you?,How would you describe the amount of effort you put into this course?,"How well did each of the following course elements help you learn course material? [Communication of course goals, objectives,  or intended learning outcomes]",How well did each of the following course elements help you learn course material? [Assigned readings],"How well did each of the following course elements help you learn course material? [Graded assignments (papers, projects, presentations, performances, etc.)]",How well did each of the following course elements help you learn course material? [Examinations and/or quizzes],How well did each of the following course elements help you learn course material? [Predictability and pace of course schedule],"How well did each of the following course elements help you learn course material? [Extent to which course activities (readings, class time, assignments, etc.) fit together]",How well did each of the following course elements help you learn course material? [Extent to which course activities supported course goals or learning outcomes],"How well did each of the following course elements help you learn course material? [Connection of course content to larger themes (societal, ethical, religious, professional, etc.)]",How consistently did the instructor engage in the following practices? [Accommodating different learning needs and styles],"How consistently did the instructor engage in the following practices? [Explaining  important information, ideas, or concepts clearly]",How consistently did the instructor engage in the following practices? [Encouraging students to develop and express their own ideas and perspectives],"How consistently did the instructor engage in the following practices? [Encouraging students to consider carefully the ideas and perspectives of others (other students, other scholars, other speakers, etc.)]",How consistently did the instructor engage in the following practices? [Using class time to stimulate intellectual engagement with course topics],"How consistently did the instructor engage in the following practices? [Providing opportunities for students to apply their learning to new problems, issues, or topics]",How consistently did the instructor engage in the following practices? [Communicating clear expectations for student work],How consistently did the instructor engage in the following practices? [Providing assistance as needed outside of class],How consistently did the instructor engage in the following practices? [Providing helpful feedback on assignments],How consistently did the instructor engage in the following practices? [Providing timely feedback on assignments],How consistently did the instructor engage in the following practices? [Conveying respect for students],Please describe one or two of the instructor's most effective practices.,Please describe one or two ways in which the instructor could improve.,Please include any other observations that will help the instructor continue to develop as a teacher.
2024/05/13 8:05:44 AM EST,First-year,No,It meets a General Education/OLE Core requirement,About right,Modest (3-5 hours of work per week outside of class time),Some of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,A few times,A few times,Some of the time,A few times,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,A few times,A few times,A few times,Almost Always,,,
2024/05/13 8:07:31 AM EST,First-year,No,It meets a General Education/OLE Core requirement,Too challenging,Moderate (6-10 hours of work per week outside of class time),Not at all,Some of the time,Not at all,Not at all,A few times,A few times,A few times,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,A few times,she assigned the reading on time ,actually informing us about the course content instead of just reading the slides which were the exact same as the book and actually giving us questions that we know how to answer instead of it being new content ,actually teaching students instead of reading off slides and getting a class average over a 65
2024/05/13 8:07:54 AM EST,Sophomore,No,It counts toward my major or concentration,Too challenging,Moderate (6-10 hours of work per week outside of class time),A few times,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Most of the time,Almost Always,Some of the time,Some of the time,Almost Always,Almost Always,A few times,Not at all,Almost Always,quizzes and examples,feedback in time and make the class more engaging/interesting,-
2024/05/13 8:07:59 AM EST,First-year,Not sure yet,I?€?m interested in the subject matter;It is a prerequisite for another course I plan to take,About right,Modest (3-5 hours of work per week outside of class time),Most of the time,Most of the time,Most of the time,Some of the time,Most of the time,Most of the time,Some of the time,Most of the time,Most of the time,Most of the time,Almost Always,Almost Always,Most of the time,Almost Always,Most of the time,Almost Always,Almost Always,Most of the time,Almost Always,"Very flexible with office hours and very engaging during them, really helped me learn more ","An area for improvement for my professors would maybe be going over some of the slides a little slower or explain some of them more, but I usually went to office hours if I was confused ",Keep it up 
2024/05/13 8:08:20 AM EST,First-year,No,It meets a General Education/OLE Core requirement;I?€?m interested in the subject matter,Too challenging,Moderate (6-10 hours of work per week outside of class time),A few times,A few times,Some of the time,Not at all,Not at all,Most of the time,Some of the time,Most of the time,Most of the time,A few times,A few times,A few times,Not at all,Not at all,Most of the time,A few times,Not at all,Almost Always,Almost Always,Posting their Slides on to Moodle and The RATS ,"The course needed to definitely be more intro level at its core, talking to economic majors they would still have difficulty sometimes assisting on comprehension or math for this 100 level class.","Really great person, I'd imagine would be great in a large institution with the help of a TA teaching a high level course, just probably not intro courses. Which is not a diss in any way, just their PHD caused some incongruity I think."
2024/05/13 8:08:53 AM EST,Sophomore,Yes,It counts toward my major or concentration;I?€?m interested in the subject matter,About right,Moderate (6-10 hours of work per week outside of class time),Some of the time,A few times,Some of the time,Most of the time,Some of the time,Most of the time,Some of the time,A few times,Some of the time,Some of the time,Most of the time,Most of the time,Most of the time,Most of the time,Some of the time,Most of the time,A few times,A few times,Almost Always,RAT quiz before the exam,"Exam/quiz question formulation was difficult to follow and understand, and was confusing",
2024/05/13 8:08:56 AM EST,First-year,Not sure yet,It meets a General Education/OLE Core requirement;It counts toward my major or concentration;I?€?m interested in the subject matter;It is a prerequisite for another course I plan to take,Too challenging,Moderate (6-10 hours of work per week outside of class time),Most of the time,A few times,Some of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Some of the time,Most of the time,A few times,Not at all,Almost Always,Not at all,Almost Always,Most of the time,Some of the time,A few times,Almost Always,1) effective predictability of assignments and use of many small homework assignments over the semester to keep engagement with the material 2) clarity of lectures ,1) the grading and overall difficulty of the course seemed higher than anticipated 2) the content covered was very broad without much of a deeper analysis into it 3) having us do an R studio assignment as part of our grade when most of us had never used R before was frustrating and hard to do and didn't seem within the scope of our class,Setting clearer expectations for how grading / curving grades will work 
2024/05/13 8:09:07 AM EST,First-year,No,It meets a General Education/OLE Core requirement;I?€?m interested in the subject matter,About right,Moderate (6-10 hours of work per week outside of class time),Most of the time,Most of the time,Some of the time,Most of the time,Most of the time,Some of the time,Most of the time,Some of the time,Most of the time,Almost Always,Most of the time,Most of the time,Almost Always,Most of the time,Almost Always,Almost Always,Almost Always,Most of the time,Almost Always,Offering office hours to ask questions about the lessons. As well as being very available to extending deadlines if needed.,"If less readings could be provided it would be helpful. As well as maybe trying to make the course engaging through in-class activities,",I hope that all goes well for you professor.
2024/05/13 8:09:10 AM EST,First-year,No,It meets a General Education/OLE Core requirement;I?€?m interested in the subject matter,Too challenging,Moderate (6-10 hours of work per week outside of class time),Most of the time,Most of the time,Most of the time,Some of the time,Most of the time,,,,,Some of the time,Most of the time,Some of the time,,,,,,,,,,
2024/05/13 8:09:28 AM EST,Sophomore,No,It meets a General Education/OLE Core requirement,Too challenging,Moderate (6-10 hours of work per week outside of class time),Most of the time,Some of the time,Most of the time,Some of the time,Some of the time,Some of the time,Some of the time,Most of the time,Almost Always,Most of the time,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,"Gives detailed feedback on assignments so that expectations can be met the next time around. Also is very respectful towards students, and has open office hours so that students are able to get help if needed. 
Understanding of other conflicts if extensions are needed.","Going over specific problems that were especially difficult on exams and quizzes, and placing greater emphasis on topics that absolutely will show up on exams.",N/A
